point_id,policy_id,product,premium_period,issue_age,sex,risk_class,face_amount,annual_premium,dividend_option,pua_rider_premium,term_blend_target,loan_utilization,pols_if_init,duration_inforce,puaf_inforce,loan_inforce,provenance
1,WLPAR-000001,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,0.0,0.0,0.0,1.0,9,4100.0,0.0,worked example anchor [std]
2,WLPAR-000002,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,0.0,0.0,0.0,1.0,0,0.0,0.0,new business [std]
3,WLPAR-000003,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,CASH,0.0,0.0,0.0,1.0,0,0.0,0.0,new business [std]
4,WLPAR-000004,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,ACCUM,0.0,0.0,0.0,1.0,0,0.0,0.0,new business [std]
5,WLPAR-000005,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,REDUCE_PREM,0.0,0.0,0.0,1.0,0,0.0,0.0,new business [std]
6,WLPAR-000006,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,0.0,0.0,0.2,1.0,0,0.0,0.0,loan variant [std]
7,WLPAR-000007,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,1000.0,0.0,0.0,1.0,0,0.0,0.0,PUA rider variant [std]
8,WLPAR-000008,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,5000.0,200000.0,0.0,1.0,0,0.0,0.0,term-blend variant [std]
9,WLPAR-000009,WL_PAR,PAY_10,45,M,STD_NT,100000.0,4800.0,PUA,0.0,0.0,0.0,1.0,0,0.0,0.0,limited-pay variant [std illustrative]
10,WLPAR-000010,WL_PAR,TO_100,45,F,STD_NT,100000.0,1560.0,PUA,0.0,0.0,0.0,1.0,0,0.0,0.0,female cell [std illustrative]
11,WLFE-000001,WL_FE_LEVEL,TO_100,65,M,STD_NT,15000.0,,NONE,0.0,0.0,0.0,1.0,0,0.0,0.0,[S7] rates; model point [std]
12,WLFE-000002,WL_FE_GRADED,TO_100,65,M,STD_NT,15000.0,,NONE,0.0,0.0,0.0,1.0,0,0.0,0.0,[S7] rates; model point [std]
13,WLFE-000003,WL_FE_LEVEL,TO_100,65,F,STD_NT,15000.0,,NONE,0.0,0.0,0.0,1.0,0,0.0,0.0,[S7] rates; model point [std]
14,WLPAR-000011,WL_PAR,TO_100,45,M,STD_NT,100000.0,1800.0,PUA,0.0,200000.0,0.0,1.0,0,0.0,0.0,unfunded term-blend variant [std]
